name,artist,uri,key,mode,acousticness,danceability,energy,liveness,loudness,tempo,valence,popularity
Fall in Love,Youngjae,spotify:track:4lpMmdpOCEc2LJVgTFny46,2,1,0.444,0.738,0.669,0.0456,-4.307,93.998,0.69,46
All The Way Up (K),Jay Park,spotify:track:6lp2MvqEBSdL3L84GAvl4o,7,1,0.299,0.529,0.711,0.13,-5.589,114.863,0.544,49
Peek-A-Boo,Red Velvet,spotify:track:42tFTth2jcF7iSo0RBjfJF,1,0,0.0868,0.839,0.902,0.272,-3.612,114.953,0.639,69
My Eyes,10cm,spotify:track:0ndIZ2XvGtXV0PIbEAwoIv,0,1,0.439,0.892,0.443,0.0866,-6.178,107.983,0.714,48
Phonecert 폰서트,10cm,spotify:track:4X3OlLezpBmskDaqlpINQ8,9,1,0.391,0.858,0.481,0.128,-3.649,107.96,0.773,20
OGZ (PROD. GroovyRoom),JOWOOCHAN,spotify:track:08u0Rg0qkZ4y2UkDpWoL67,0,1,0.0497,0.793,0.793,0.0734,-3.067,132.04,0.31,37
iD (Prod.By GRAY),Sleepy,spotify:track:6iZbX6zfmpx40UDy6Xcbl1,3,0,0.131,0.736,0.776,0.25,-4.22,115.948,0.838,23
Gimmick,Sleepy,spotify:track:2zEgm66zLaJpDeMPKvWxRF,5,0,0.318,0.784,0.916,0.109,-3.412,121.951,0.683,13
BOSS,NCT,spotify:track:0ErzcmZ2gIwX7X0xSMQPix,10,0,0.0233,0.787,0.543,0.0861,-6.7,99.026,0.332,70
Baby Don’t Stop,NCT,spotify:track:1EYSS9Lp7a9f20C3FaOVgI,8,1,0.0214,0.827,0.739,0.043,-6.391,95.999,0.352,68
Hellevator,Stray Kids,spotify:track:7wrHzCQ5C6ieyeXOBkcWx3,7,0,0.00817,0.465,0.816,0.393,-2.33,78.457,0.295,2
Grrr 총량의 법칙,Stray Kids,spotify:track:185o8d33211rJBW5UlJVrY,1,1,0.042,0.675,0.963,0.397,-1.884,97.968,0.455,4
괜찮아 괜찮아 Fantasy,Fei,spotify:track:2aGgbYDhFvGuH0agb2koJq,3,0,0.325,0.771,0.683,0.0997,-4.96,115.014,0.567,7
THINK ABOUT YOU,Jun. K,spotify:track:4GCGwT7W2RHiD71uMwlMkO,7,1,0.453,0.702,0.512,0.151,-3.466,130.036,0.35,2
Mysterious,HELLOVENUS,spotify:track:5so48MQAzRucBE7mrL7F7V,8,1,0.108,0.614,0.819,0.099,-3.249,206.047,0.808,0
